Source_Name,Xray_Index,FX,FG,PL_Index,PLEC_SigCurv,Variability_Index,finalV,Class
4FGL J1936.9-4720,1.974,1.563E-11,8.617655E-12,1.7679237,1.4878328,30.386515,19.094,bzr
4FGL J1937.2-3958,1.413,4.369E-12,1.1898639E-11,2.6233878,1.7781373,50.35919,20.0,bzr
4FGL J1941.3-6210,0.7341,2.366E-12,2.7828151E-11,2.4468105,4.164793,738.62463,22.84,bzr
4FGL J1942.8-3512,2.156,2.06E-12,3.1858795E-12,2.4075665,0.8544405,14.710571,17.973,bzr
4FGL J1944.4-4523,2.467,3.379E-12,2.8234173E-12,1.7038753,1.502991,10.69413,18.61,bzr
4FGL J1958.0-3845,1.7,2.509E-12,3.318279E-11,2.3475225,8.495468,58.86073,18.07,bzr
4FGL J1958.3-3010,2.062,2.09E-11,1.03275175E-11,1.8125044,1.7653297,27.514261,17.863,bzr
4FGL J1959.7-4725,2.61,1.839E-12,1.1801209E-11,1.779972,5.3068333,7.332477,17.92,bzr
4FGL J2000.0+6508,2.094,3.181E-10,9.266375E-11,1.8164151,3.0461853,1052.4075,13.8,bzr
4FGL J2000.9-1748,1.657,1.952E-12,1.7319151E-11,2.27094,0.19116484,77.014175,18.46,bzr
4FGL J2005.5+7752,1.484,2.249E-12,2.508487E-11,2.230066,3.9771602,332.5123,17.5,bzr
4FGL J2005.9-2309,1.36,8.05E-13,1.33305094E-11,2.4629374,2.4768572,239.81487,20.3,bzr
4FGL J2009.4-4849,2.449,4.299E-11,3.3502246E-11,1.8300068,2.1887505,135.07834,13.81,bzr
4FGL J2010.0+7229,1.309,5.308E-13,1.4568974E-11,2.2920136,5.6797557,63.758015,19.62,bzr
4FGL J2015.2-0137,2.095,6.3E-13,1.28476275E-11,2.237225,3.1201885,9.108798,18.61,bzr
4FGL J2022.5+7612,1.41,2.874E-12,1.5014935E-11,2.2752826,1.5821507,61.431946,19.1,bzr
4FGL J2024.6-3252,1.821,1.13E-12,1.2592671E-11,2.5027628,2.0573158,76.52446,17.3,bzr
4FGL J2025.6-0735,1.545,2.267E-12,8.659873E-11,2.3068326,9.903055,3045.1687,18.947,bzr
4FGL J2030.9+1935,2.151,1.76E-12,7.4647025E-12,1.8422645,3.6622107,17.293234,19.254,bzr
4FGL J2032.0+1219,1.616,4.844E-13,6.55874E-12,2.410356,1.7665293,32.70739,19.5,bzr
4FGL J2035.4+1056,1.305,2.955E-12,5.8835596E-11,2.3704584,8.541,2421.8145,17.37,bzr
4FGL J2039.0-1046,1.956,4.979E-13,1.923961E-11,2.0877066,4.396557,19.786705,17.69,bzr
4FGL J2040.2-7115,1.714,1.8E-11,5.8485994E-12,1.7504807,1.738107,6.4781423,18.5,bzr
4FGL J2041.9-3735,2.069,1.318E-11,3.2939595E-12,2.0277045,0.6612443,11.528909,17.798,bzr
4FGL J2042.1+2427,2.152,1.286E-11,5.3505442E-12,1.8167945,0.37215948,12.657421,16.753,bzr
4FGL J2050.0+0408,1.892,3.508E-13,8.763139E-12,2.2174914,0.81650907,14.389129,19.855,bzr
